question,algorithm,feature_set,train_set_size,test_set_size,test_set_ratio,perf_measure,performance,other_info,seed
1,DT,parsed,200,200,1:1,accuracy,0.62,,1337
1,DT,parsed,200,200,1:1,accuracy,0.61,,1338
1,DT,parsed,200,200,1:1,accuracy,0.595,,1339
1,DT,format_agnostic,200,200,1:1,accuracy,0.65,,1337
1,DT,format_agnostic,200,200,1:1,accuracy,0.63,,1338
1,DT,format_agnostic,200,200,1:1,accuracy,0.61,,1339
1,DT,combined,200,200,1:1,accuracy,0.7,,1337
1,DT,combined,200,200,1:1,accuracy,0.67,,1338
1,DT,combined,200,200,1:1,accuracy,0.61,,1339
1,RF,parsed,200,200,1:1,accuracy,0.605,,1337
1,RF,parsed,200,200,1:1,accuracy,0.635,,1338
1,RF,parsed,200,200,1:1,accuracy,0.665,,1339
1,RF,format_agnostic,200,200,1:1,accuracy,0.7,,1337
1,RF,format_agnostic,200,200,1:1,accuracy,0.75,,1338
1,RF,format_agnostic,200,200,1:1,accuracy,0.715,,1339
1,RF,combined,200,200,1:1,accuracy,0.75,,1337
1,RF,combined,200,200,1:1,accuracy,0.765,,1338
1,RF,combined,200,200,1:1,accuracy,0.72,,1339
1,LGBM,parsed,200,200,1:1,accuracy,0.71,,1337
1,LGBM,parsed,200,200,1:1,accuracy,0.645,,1338
1,LGBM,parsed,200,200,1:1,accuracy,0.67,,1339
1,LGBM,format_agnostic,200,200,1:1,accuracy,0.725,,1337
1,LGBM,format_agnostic,200,200,1:1,accuracy,0.74,,1338
1,LGBM,format_agnostic,200,200,1:1,accuracy,0.66,,1339
1,LGBM,combined,200,200,1:1,accuracy,0.74,,1337
1,LGBM,combined,200,200,1:1,accuracy,0.725,,1338
1,LGBM,combined,200,200,1:1,accuracy,0.725,,1339
1,SVM,parsed,200,200,1:1,accuracy,0.685,,1337
1,SVM,parsed,200,200,1:1,accuracy,0.605,,1338
1,SVM,parsed,200,200,1:1,accuracy,0.645,,1339
1,SVM,format_agnostic,200,200,1:1,accuracy,0.735,,1337
1,SVM,format_agnostic,200,200,1:1,accuracy,0.635,,1338
1,SVM,format_agnostic,200,200,1:1,accuracy,0.66,,1339
1,SVM,combined,200,200,1:1,accuracy,0.665,,1337
